"R","Fl","A","Sp","Sm","B","H","L","loc"
693.3,50,1972,0,0,"0","0","0","2"
422,54,1972,0,0,"0","0","0","2"
736.6,70,1972,0,0,"0","0","0","2"
732.2,50,1972,0,0,"0","0","0","2"
1295.1,55,1893,0,0,"0","0","0","2"
1195.9,59,1893,0,0,"0","0","0","2"
395,46,1957,0,0,"0","1","0","2"
1285.6,94,1972,0,0,"0","0","0","2"
1175.4,93,1972,0,0,"0","0","0","2"
860,65,1967,0,0,"0","0","0","2"
709.6,36,1972,0,0,"0","0","0","2"
852.7,33,1972,0,0,"0","0","0","2"
657.4,57,1985,0,0,"0","0","0","2"
1310.2,76,1985,0,0,"0","0","0","2"
1237.8,75,1985,0,0,"0","0","0","2"
1212,83,1985,0,0,"0","0","0","2"
1511.2,83,1985,0,0,"0","0","0","2"
662.2,100,1957,0,0,"0","0","0","2"
527.5,50,1957,0,0,"0","0","1","2"
615.1,63,1972,0,0,"0","0","0","2"
852.3,93,1972,0,0,"0","0","1","2"
812.8,93,1972,0,0,"0","0","0","2"
798.3,83,1972,0,0,"0","0","1","2"
517.2,79,1972,0,0,"0","0","0","2"
593.1,79,1972,0,0,"0","0","0","2"
2869.9,90,1985,1,0,"0","0","0","3"
1623.6,60,1985,1,0,"0","0","1","3"
837.8,76,1957,0,1,"0","0","1","1"
750.2,75,1957,0,1,"0","0","0","1"
875.1,104,1957,0,1,"0","0","1","1"
809.7,79,1957,0,1,"0","0","0","1"
765.4,93,1972,0,1,"0","0","1","1"
1165.6,90,1961,0,0,"0","0","0","2"
422.8,50,1957,0,0,"0","1","0","2"
490.7,63,1893,0,0,"0","1","0","2"
813.3,120,1893,0,0,"0","1","0","2"
480.3,40,1959,0,0,"0","0","0","2"
1454.1,74,1957,0,0,"0","0","0","2"
537,76,1957,0,0,"0","0","0","2"
759.2,76,1957,0,0,"0","0","0","2"
700,36,1965,0,0,"0","0","0","2"
1127.8,62,1972,0,0,"0","0","0","2"
1090.4,99,1893,0,0,"0","0","0","2"
670.9,59,1957,0,0,"0","1","0","2"
349.9,33,1893,0,0,"1","1","0","2"
380,40,1911,0,0,"1","1","0","2"
1174.6,92,1934,0,0,"0","1","0","2"
673.8,69,1934,0,0,"0","1","0","2"
566.4,70,1893,0,0,"0","1","0","2"
334.3,54,1957,0,0,"0","1","0","2"
267.8,51,1957,0,0,"0","1","0","2"
783.7,73,1972,0,0,"0","0","0","2"
240.4,68,1893,0,0,"0","1","0","2"
1030,56,1972,0,0,"0","0","0","2"
452.7,32,1972,0,0,"0","0","0","2"
900,55,1972,0,0,"0","0","0","2"
925.4,45,1956,0,0,"0","0","0","2"
695.2,55,1985,0,0,"0","0","0","2"
928.7,54,1981,0,0,"0","0","0","2"
1204.4,79,1981,0,0,"0","0","0","2"
1004.5,50,1981,0,0,"0","0","0","2"
1300.2,75,1956,0,0,"0","0","0","2"
785,68,1972,0,0,"0","0","0","2"
526.4,68,1972,0,0,"0","0","0","2"
820,73,1955,0,1,"0","1","0","1"
688.3,69,1957,0,0,"0","1","0","2"
1689.7,60,1964,0,0,"0","1","0","2"
554.6,43,1962,0,0,"0","0","0","2"
664.1,50,1962,0,0,"0","0","0","2"
765.7,82,1962,0,0,"0","0","0","2"
736,62,1957,0,0,"0","0","0","2"
614.4,110,1972,0,1,"0","0","0","1"
779.8,65,1972,0,0,"0","0","0","2"
721.2,52,1959,0,0,"0","0","0","2"
239.3,45,1934,0,0,"0","1","0","2"
489.7,39,1957,1,0,"0","0","0","3"
421.6,40,1957,1,0,"0","0","0","3"
799.6,52,1957,1,0,"0","0","0","3"
566.2,56,1957,1,0,"0","0","0","3"
421.3,52,1957,1,0,"0","0","0","3"
1078,80,1981,0,0,"0","0","0","2"
477.3,30,1981,0,0,"0","0","0","2"
1092.4,84,1976,0,0,"0","0","0","2"
449.9,35,1981,0,0,"0","0","0","2"
982,65,1963,1,0,"0","0","0","3"
679.5,69,1957,1,0,"0","0","0","3"
583.4,67,1972,1,0,"0","0","0","3"
485.1,67,1972,1,0,"0","0","0","3"
1203.6,89,1934,1,0,"0","0","0","3"
720.2,95,1934,1,0,"0","0","0","3"
705.8,84,1934,1,0,"0","0","0","3"
610.1,59,1941,1,0,"0","0","0","3"
761.7,60,1934,1,0,"0","1","0","3"
1030,60,1988,0,0,"0","0","0","2"
774,60,1988,0,0,"0","0","0","2"
1220,82,1988,0,0,"0","0","1","2"
776.6,68,1972,1,0,"0","0","0","3"
1720.8,100,1972,1,0,"0","0","0","3"
970,80,1972,1,0,"0","0","0","3"
800,68,1972,1,0,"0","0","0","3"
658.4,55,1939,1,0,"0","1","0","3"
955.8,49,1972,1,0,"0","0","0","3"
1164.2,55,1972,1,0,"0","0","0","3"
765,62,1972,1,0,"0","0","0","3"
337.7,35,1957,1,0,"0","1","0","3"
375.7,35,1957,1,0,"0","1","0","3"
347.9,45,1957,1,0,"0","1","0","3"
443.4,35,1957,1,0,"0","1","0","3"
366.5,80,1893,0,0,"0","1","0","2"
1348.5,106,1893,0,0,"0","0","0","2"
852.5,112,1893,0,0,"0","1","0","2"
569.5,36,1972,1,0,"0","0","0","3"
681.5,73,1972,1,0,"0","0","0","3"
1063,74,1972,1,0,"0","0","0","3"
767.3,42,1972,1,0,"0","0","0","3"
666.5,30,1972,1,0,"0","0","0","3"
679.8,35,1972,1,0,"0","0","0","3"
752,40,1972,1,0,"0","0","0","3"
799.8,64,1957,1,0,"0","0","0","3"
681.3,72,1957,1,0,"0","0","0","3"
564.5,41,1957,1,0,"0","0","0","3"
1014.6,71,1957,1,0,"0","0","0","3"
808.8,55,1957,1,0,"0","0","0","3"
983.6,78,1972,0,0,"0","0","0","2"
1408.9,74,1972,0,0,"0","0","0","2"
685.4,86,1972,0,0,"0","0","0","2"
1054.9,86,1957,0,0,"0","0","0","2"
661.2,55,1981,0,0,"0","0","0","2"
748,89,1981,0,0,"0","0","0","2"
1015.6,90,1981,0,0,"0","0","0","2"
869.8,82,1981,0,0,"0","0","0","2"
584.2,44,1972,0,0,"0","0","0","2"
557.5,33,1972,0,0,"0","0","0","2"
506.6,37,1972,0,0,"0","0","0","2"
447.6,77,1970,0,0,"0","0","0","2"
609.3,56,1972,0,0,"0","0","0","2"
756.1,55,1972,0,0,"0","0","0","2"
385.5,77,1970,0,0,"0","0","0","2"
720,83,1972,0,0,"0","0","0","2"
1165.1,55,1988,0,0,"0","0","0","2"
553.5,71,1988,0,0,"0","0","0","2"
665.1,70,1957,0,0,"0","0","0","2"
705.6,50,1957,0,0,"0","0","0","2"
669.5,82,1985,0,0,"0","0","0","2"
975.5,60,1972,0,0,"0","0","0","2"
874,55,1973,0,0,"0","0","0","2"
1386.4,60,1973,0,0,"0","0","0","2"
703.8,34,1972,0,0,"0","0","0","2"
521.9,34,1972,0,0,"0","0","0","2"
822.2,83,1981,0,0,"0","0","0","2"
756.7,76,1981,0,0,"0","0","0","2"
1061.8,77,1981,0,0,"0","0","0","2"
724.2,77,1979,0,0,"0","0","0","2"
865.5,83,1979,0,0,"0","0","0","2"
541.3,49,1981,0,0,"0","0","0","2"
744.1,84,1972,0,0,"0","0","0","2"
789.7,85,1979,0,0,"0","0","0","2"
635.1,95,1981,0,0,"0","0","0","2"
815,93,1957,0,0,"0","0","0","2"
614.5,61,1957,0,1,"0","0","0","1"
571.3,61,1957,0,1,"0","0","0","1"
529.3,87,1893,0,0,"0","1","0","2"
277.7,46,1916,0,0,"0","1","0","2"
406.6,57,1893,0,0,"1","1","0","2"
340.2,68,1893,0,0,"0","1","0","2"
643.9,84,1893,0,0,"0","0","0","2"
921.7,86,1893,0,0,"0","0","0","2"
382,70,1957,0,0,"0","1","0","2"
1285.1,72,1972,0,0,"0","0","0","2"
703,55,1957,0,0,"0","0","0","2"
449.8,43,1958,0,0,"0","0","0","2"
382,56,1957,0,0,"0","0","0","2"
891.9,56,1972,0,0,"0","0","0","2"
755,64,1957,0,0,"0","1","0","2"
1410.7,106,1934,0,0,"0","0","0","2"
228.7,37,1957,0,0,"0","1","0","2"
500.6,57,1957,0,0,"0","1","0","2"
563.5,51,1893,0,0,"0","0","0","2"
1234.5,85,1893,0,0,"0","0","1","2"
635.9,65,1934,0,0,"0","1","0","2"
533.1,44,1935,0,0,"0","0","0","2"
535,44,1935,0,0,"0","0","0","2"
488.1,43,1935,0,0,"0","1","0","2"
682.9,72,1893,0,0,"0","1","0","2"
563.1,100,1934,0,1,"0","1","1","1"
430,50,1957,0,1,"0","1","0","1"
436.7,60,1957,0,1,"0","1","0","1"
473.2,80,1957,0,1,"0","1","0","1"
450.4,80,1893,0,1,"1","0","0","1"
1094.8,56,1893,0,0,"0","0","0","2"
699.6,80,1934,0,0,"0","0","0","2"
541.2,31,1957,0,0,"0","0","0","2"
675,35,1972,0,0,"0","0","0","2"
712.1,80,1972,0,0,"0","0","0","2"
680.9,74,1972,0,0,"0","0","0","2"
478.4,75,1957,0,0,"0","0","0","2"
758.6,67,1966,0,0,"0","0","0","2"
1039.1,61,1988,0,0,"0","0","0","2"
582,110,1893,0,0,"0","0","0","2"
919.5,63,1957,1,0,"0","0","0","3"
286,55,1957,0,0,"0","1","0","2"
693.5,54,1957,0,0,"0","0","0","2"
515,76,1957,0,0,"0","0","0","2"
419,76,1957,0,0,"0","0","0","2"
538.6,30,1957,1,0,"0","0","0","3"
475.3,36,1958,1,0,"0","0","0","3"
820,59,1957,0,1,"0","0","0","1"
796.5,42,1893,0,1,"0","1","0","1"
1405.6,119,1934,0,0,"0","0","1","2"
645.9,43,1957,0,0,"0","1","0","2"
1398.5,70,1957,0,0,"0","0","0","2"
1626.9,66,1957,0,0,"0","0","0","2"
576.6,71,1893,0,1,"0","1","0","1"
353.6,48,1934,0,1,"0","0","0","1"
230.8,46,1934,0,1,"0","1","0","1"
907,80,1957,0,0,"0","0","0","2"
680,62,1932,0,0,"0","0","0","2"
350,39,1934,0,0,"0","0","0","2"
409,49,1932,0,0,"0","0","0","2"
360,37,1932,0,0,"0","0","0","2"
558.1,34,1972,0,0,"0","0","0","2"
480.7,30,1972,0,0,"0","0","0","2"
876,55,1954,0,0,"0","0","0","2"
668.3,48,1988,0,0,"0","0","0","2"
975.7,61,1988,0,0,"0","0","0","2"
1328.1,98,1988,0,0,"0","0","1","2"
1416.5,86,1981,0,0,"0","0","0","2"
1241.1,87,1981,0,0,"0","0","0","2"
778.3,60,1981,0,0,"0","0","0","2"
239.3,40,1957,0,0,"0","0","0","2"
400.9,73,1957,0,0,"0","0","0","2"
661,72,1919,0,0,"0","1","0","2"
400,40,1934,0,0,"0","1","0","2"
338.9,35,1934,0,0,"0","1","0","2"
289.9,35,1934,0,0,"0","1","0","2"
1909,104,1981,0,0,"0","0","1","2"
1521.7,102,1981,0,0,"0","0","1","2"
700,57,1957,0,0,"0","1","0","2"
461.7,40,1920,0,0,"0","0","0","2"
941.8,56,1957,0,0,"0","0","0","2"
987,68,1957,1,0,"0","0","0","3"
1217.4,62,1972,1,0,"0","0","0","3"
426.8,67,1972,1,0,"0","0","0","3"
530.2,40,1972,1,0,"0","0","0","3"
853,84,1972,1,0,"0","0","1","3"
982.7,79,1957,1,0,"0","0","1","3"
629.3,62,1957,0,0,"0","0","0","2"
1685.5,103,1985,1,0,"0","0","1","3"
1590.4,116,1934,0,0,"0","0","0","2"
469.4,84,1934,0,0,"0","0","0","2"
500,32,1972,1,0,"0","0","0","3"
510.2,34,1972,1,0,"0","0","0","3"
775.2,72,1972,1,0,"0","0","1","3"
376.7,38,1957,1,0,"0","0","0","3"
516.3,47,1957,1,0,"0","0","0","3"
1210.8,71,1972,1,0,"0","0","0","3"
559.2,78,1957,1,0,"0","0","0","3"
408,34,1957,1,0,"0","0","1","3"
1347.3,48,1985,0,0,"0","0","0","2"
926.3,74,1957,0,0,"0","0","0","2"
1172.3,85,1972,0,0,"0","0","0","2"
1257.7,85,1972,0,0,"0","0","0","2"
1438.5,70,1987,1,0,"0","0","0","3"
910.5,85,1934,0,0,"0","0","0","2"
342.8,62,1912,0,0,"0","0","0","2"
454.6,62,1934,0,0,"0","0","0","2"
463.2,51,1912,0,0,"0","0","0","2"
1075.3,102,1957,1,0,"0","0","0","3"
1240.6,102,1957,1,0,"0","0","0","3"
1012,102,1957,1,0,"0","0","0","3"
695,63,1953,1,0,"0","0","0","3"
620,66,1957,1,0,"0","0","0","3"
534.2,100,1907,1,0,"0","0","0","3"
811.2,35,1969,1,0,"0","0","0","3"
823.3,43,1969,1,0,"0","0","0","3"
825.3,43,1969,1,0,"0","0","0","3"
693.7,74,1934,0,0,"0","0","0","2"
1302.8,82,1934,0,0,"0","0","0","2"
575.2,58,1934,0,0,"0","1","0","2"
1221.1,100,1934,0,0,"0","0","0","2"
1200,100,1938,1,0,"0","0","1","3"
420.6,38,1932,0,0,"0","0","0","2"
347.1,37,1932,0,0,"0","0","0","2"
592.7,63,1981,0,0,"0","0","0","2"
513,72,1957,0,0,"0","0","0","2"
1398.3,100,1972,1,0,"0","0","0","3"
1250,78,1972,0,0,"0","0","0","2"
770,42,1972,0,0,"0","0","0","2"
980,97,1957,0,0,"0","0","0","2"
958,97,1957,0,0,"0","0","0","2"
472,45,1934,0,0,"0","0","0","2"
1206.6,75,1972,1,0,"0","0","0","3"
498.3,31,1985,1,0,"0","0","0","3"
1550,79,1972,1,0,"0","0","0","3"
233,45,1957,1,0,"1","0","0","3"
1347,95,1957,1,0,"0","0","1","3"
662.8,56,1934,1,0,"0","1","0","3"
1228.5,65,1981,1,0,"0","0","1","3"
1753.2,83,1957,1,0,"0","0","1","3"
1710,87,1957,1,0,"0","0","1","3"
1025.5,84,1934,1,0,"0","0","1","3"
950,62,1972,1,0,"0","0","0","3"
1650,100,1972,1,0,"0","0","0","3"
1570,95,1972,1,0,"0","0","0","3"
521.4,40,1957,0,0,"0","0","0","2"
1350,85,1972,0,0,"0","0","0","2"
597.2,34,1957,0,0,"0","0","0","2"
580,72,1972,0,1,"0","0","0","1"
682.1,38,1979,0,1,"0","0","0","1"
297.4,54,1957,0,1,"0","0","1","1"
508.1,97,1957,0,1,"0","0","0","1"
2000,114,1985,1,0,"0","0","0","3"
1104,57,1934,1,0,"0","0","0","3"
1400,62,1909,1,0,"0","0","0","3"
1190,88,1934,1,0,"0","0","1","3"
1129,88,1934,1,0,"0","0","1","3"
1189.2,50,1934,1,0,"0","0","1","3"
1168.1,107,1957,1,0,"0","0","0","3"
628,48,1934,1,0,"0","0","0","3"
565,50,1934,0,1,"0","0","0","1"
691,62,1934,0,1,"0","0","0","1"
713,62,1934,0,1,"0","0","0","1"
675.5,62,1972,1,0,"0","1","0","3"
651.4,62,1972,1,0,"0","1","0","3"
1698.2,120,1934,0,0,"0","0","0","2"
1618,110,1957,0,0,"0","0","0","2"
593.6,64,1934,1,0,"0","0","0","3"
356.7,84,1893,1,0,"1","1","0","3"
906,41,1928,1,0,"0","0","0","3"
555.1,38,1981,1,0,"0","0","0","3"
643.2,87,1957,1,0,"0","0","0","3"
638.6,90,1957,1,0,"0","0","0","3"
904.7,40,1972,1,0,"0","0","0","3"
982.5,69,1972,0,0,"0","0","0","2"
684.1,42,1972,0,0,"0","0","0","2"
904.7,69,1972,0,0,"0","0","0","2"
1023.2,45,1965,0,0,"0","0","0","2"
545.7,70,1957,0,0,"0","0","0","2"
985.4,94,1957,0,0,"0","0","0","2"
1245,98,1972,0,0,"0","0","0","2"
1566,79,1972,0,0,"0","0","0","2"
1030,71,1972,0,0,"0","0","0","2"
764,79,1972,0,0,"0","0","0","2"
549.5,53,1934,1,0,"0","0","1","3"
480.5,30,1934,1,0,"0","0","0","3"
1235,73,1962,0,0,"0","0","0","2"
653,69,1957,0,0,"0","0","0","2"
753.6,75,1957,0,0,"0","0","1","2"
602.3,59,1957,0,0,"0","0","0","2"
508.1,40,1957,0,0,"0","0","0","2"
454,43,1957,0,0,"0","0","0","2"
1263.8,72,1957,1,0,"0","0","0","3"
646,48,1957,0,0,"0","0","0","2"
896,55,1957,0,0,"0","0","0","2"
744.8,58,1957,0,0,"0","0","0","2"
833.5,41,1985,0,0,"0","0","0","2"
676.3,49,1950,0,0,"0","1","0","2"
1009,69,1972,1,0,"0","0","0","3"
1353.8,70,1985,0,0,"0","0","1","2"
487.6,70,1956,0,1,"0","1","0","1"
470.5,75,1956,0,1,"0","1","0","1"
1032.9,62,1981,0,0,"0","0","0","2"
663.6,41,1981,0,0,"0","0","0","2"
827.2,77,1972,0,0,"0","0","0","2"
1148.3,65,1966,0,0,"0","0","0","2"
1016.4,55,1972,0,0,"0","0","0","2"
788.2,55,1972,0,0,"0","0","0","2"
472.5,50,1934,0,0,"0","0","0","2"
448.4,65,1934,0,1,"0","1","0","1"
1232,67,1988,0,0,"0","0","0","2"
1025.9,43,1985,0,0,"0","0","0","2"
1424.9,67,1988,0,0,"0","0","0","2"
1452,88,1970,0,0,"0","0","0","2"
749.2,37,1972,0,0,"0","0","0","2"
598.3,37,1970,0,0,"0","0","0","2"
629.7,40,1981,0,1,"0","1","0","1"
887.4,64,1972,0,0,"0","0","0","2"
526.8,60,1957,0,0,"0","1","0","2"
1065.6,38,1972,1,0,"0","0","0","3"
1130.8,85,1972,1,0,"0","0","0","3"
1176.5,84,1972,1,0,"0","0","0","3"
1129.4,70,1972,1,0,"0","0","0","3"
589.4,70,1972,1,0,"0","0","0","3"
701.4,70,1972,1,0,"0","0","0","3"
950,92,1972,1,0,"0","0","0","3"
936.5,91,1972,1,0,"0","0","0","3"
784.8,74,1972,1,0,"0","0","0","3"
633.6,87,1957,1,0,"0","0","0","3"
500.2,45,1957,1,0,"0","0","0","3"
167.2,100,1957,0,0,"0","0","0","2"
354.5,100,1957,0,0,"0","0","0","2"
246.5,71,1957,0,0,"0","0","0","2"
294.2,81,1957,0,0,"0","0","0","2"
1302,80,1962,1,0,"0","0","1","3"
711,75,1962,1,0,"0","0","1","3"
1573.9,79,1980,0,0,"0","0","0","2"
515.2,45,1972,0,0,"0","1","0","2"
540.8,72,1972,0,0,"0","0","0","2"
482.9,72,1968,0,0,"0","0","0","2"
560.7,80,1957,0,0,"0","0","0","2"
382.1,64,1957,0,0,"0","1","0","2"
552.6,72,1952,0,0,"0","1","0","2"
1076.8,100,1972,0,0,"0","1","0","2"
635.4,40,1957,0,0,"0","0","0","2"
621.4,42,1963,0,0,"0","0","0","2"
697.9,77,1957,0,0,"0","0","0","2"
488.9,31,1957,0,0,"0","0","0","2"
636,61,1957,0,0,"0","0","0","2"
636,61,1957,0,0,"0","0","0","2"
620.4,67,1957,0,0,"0","0","0","2"
637,61,1957,0,0,"0","0","0","2"
536.5,84,1910,0,0,"0","1","1","2"
1132.1,92,1893,0,0,"0","1","0","2"
814.1,54,1985,0,0,"0","0","0","2"
534,92,1957,0,0,"0","0","1","2"
217.3,32,1972,0,0,"0","0","0","2"
633.9,39,1970,0,0,"0","0","0","2"
960.9,54,1972,0,0,"0","1","0","2"
494.9,80,1934,0,0,"0","1","0","2"
677,57,1957,0,0,"0","0","0","2"
1469.4,76,1957,1,0,"0","0","0","3"
908.5,86,1893,0,1,"0","1","0","1"
941.9,80,1964,1,0,"0","0","0","3"
682,63,1972,1,0,"0","0","0","3"
722,63,1972,1,0,"0","0","0","3"
984,82,1972,1,0,"0","0","0","3"
851.4,49,1965,0,0,"0","0","0","2"
430.3,47,1893,0,0,"0","1","0","2"
1064.8,60,1893,0,0,"0","0","0","2"
1576,66,1981,0,0,"0","0","1","2"
1432.6,99,1893,0,0,"0","0","0","2"
816.7,64,1893,0,0,"0","1","0","2"
809.1,73,1968,0,0,"0","0","0","2"
876.9,73,1968,0,0,"0","0","0","2"
485.3,32,1968,0,0,"0","0","0","2"
549.6,32,1968,0,0,"0","0","0","2"
940,73,1968,0,0,"0","0","0","2"
989.2,46,1972,0,0,"0","0","0","2"
984.2,46,1934,0,0,"0","0","0","2"
1098.3,80,1981,0,0,"0","0","0","2"
925,69,1981,0,0,"0","0","0","2"
601.3,52,1972,0,0,"0","0","0","2"
778.4,30,1985,0,0,"0","0","0","2"
1287.5,74,1980,0,0,"0","0","0","2"
1241.9,49,1957,1,0,"0","0","0","3"
865.9,30,1957,1,0,"0","0","1","3"
614.2,37,1972,1,0,"0","0","0","3"
491.3,35,1965,0,0,"0","0","0","2"
604.5,35,1957,0,0,"0","0","0","2"
442.3,41,1957,0,0,"0","0","0","2"
795,39,1957,0,1,"0","0","0","1"
930,48,1957,0,1,"0","0","0","1"
1110,72,1957,1,0,"0","0","0","3"
1067.3,81,1958,1,0,"0","0","0","3"
896,109,1893,1,0,"0","0","0","3"
1175,75,1953,1,0,"0","0","0","3"
945.9,46,1953,1,0,"0","0","0","3"
554.2,72,1957,0,0,"0","0","0","2"
1187.1,89,1972,0,0,"0","0","0","2"
1226,90,1934,0,0,"0","0","0","2"
603,35,1934,0,0,"0","0","0","2"
206.8,54,1893,0,0,"0","1","0","2"
589.2,48,1934,0,0,"0","1","0","2"
528.5,59,1957,0,0,"0","1","0","2"
1036.6,72,1972,0,0,"0","0","0","2"
1048.3,68,1972,0,0,"0","0","0","2"
956.2,52,1934,0,0,"0","0","0","2"
669.3,51,1936,0,0,"0","0","0","2"
251.3,57,1972,0,0,"0","0","0","2"
400.6,57,1972,0,0,"0","0","0","2"
275.2,57,1957,0,0,"0","0","0","2"
722.6,78,1957,0,0,"0","0","0","2"
101.7,52,1957,0,0,"0","0","0","2"
258.5,87,1957,0,0,"0","0","0","2"
670.2,30,1966,0,0,"0","0","0","2"
1258.4,74,1972,1,0,"0","0","1","3"
1436.7,92,1972,0,0,"0","0","0","2"
765.3,53,1972,0,0,"0","0","0","2"
375.2,50,1957,0,0,"0","0","1","2"
513.8,53,1957,0,0,"0","1","0","2"
373.8,49,1957,0,0,"0","1","0","2"
506.8,57,1961,0,0,"0","0","0","2"
482.5,32,1974,1,0,"0","0","1","3"
800,65,1972,1,0,"0","0","0","3"
1091.6,65,1972,1,0,"0","0","0","3"
762.8,56,1934,0,0,"0","0","0","2"
426.5,65,1902,0,0,"0","1","0","2"
394.9,43,1902,0,0,"0","1","0","2"
675.4,101,1908,0,0,"0","0","0","2"
1092,80,1979,0,0,"0","0","0","2"
746.3,68,1957,0,0,"0","0","0","2"
909.5,79,1963,0,0,"0","0","0","2"
