"R","Fl","A","Sp","Sm","B","H","L","loc"
939.4,78,1957,0,0,"0","0","0","2"
480.7,30,1972,1,0,"0","0","0","3"
1151,88,1899,0,0,"0","1","0","2"
846.6,58,1899,0,0,"0","1","0","2"
921.2,56,1966,0,0,"0","1","0","2"
606.3,54,1966,0,0,"0","1","0","2"
471.1,56,1934,0,0,"0","1","0","2"
382.6,47,1961,1,0,"0","0","0","3"
1026,92,1972,1,0,"0","0","0","3"
916.3,45,1981,1,0,"0","0","0","3"
1067.6,92,1981,1,0,"0","0","0","3"
331.4,45,1934,0,0,"0","0","0","2"
361.4,44,1939,0,0,"0","0","0","2"
922.6,72,1972,1,0,"0","0","0","3"
681,96,1893,0,1,"0","1","0","1"
608.3,110,1893,0,1,"0","1","0","1"
792,65,1957,0,0,"0","0","0","2"
559,40,1957,0,0,"0","0","0","2"
700,60,1957,0,0,"0","0","0","2"
906.6,64,1957,0,0,"0","0","0","2"
927.2,86,1972,0,0,"0","0","0","2"
399,46,1957,0,0,"0","1","0","2"
358.6,35,1957,0,0,"0","1","0","2"
775,75,1957,0,0,"0","1","0","2"
903.7,48,1957,0,0,"0","0","0","2"
1213,78,1957,0,0,"0","0","0","2"
1300,73,1985,0,0,"0","0","0","2"
1400,76,1981,0,0,"0","0","0","2"
928.5,57,1934,0,0,"0","0","0","2"
730.9,55,1972,0,1,"0","0","0","1"
710,53,1972,0,1,"0","0","0","1"
733.5,39,1972,0,1,"0","0","0","1"
733.9,38,1962,0,0,"0","0","0","2"
740.9,72,1981,0,0,"0","0","0","2"
739.2,65,1985,0,0,"0","0","0","2"
434,43,1934,0,0,"0","1","0","2"
427.3,40,1934,0,0,"0","1","0","2"
374.5,56,1934,0,0,"0","0","0","2"
523.5,56,1934,0,0,"0","0","0","2"
381.8,56,1957,0,0,"0","0","0","2"
363.9,56,1957,0,0,"0","0","0","2"
825.9,48,1957,0,0,"0","0","0","2"
715.9,78,1934,0,0,"0","0","0","2"
778.8,73,1957,0,0,"0","0","0","2"
640,82,1927,0,0,"0","0","0","2"
1000,73,1927,0,0,"0","0","0","2"
728.4,78,1927,0,0,"0","0","0","2"
570,79,1934,0,0,"0","0","0","2"
459.6,48,1957,0,0,"0","1","1","2"
705,59,1934,0,0,"0","1","1","2"
510,47,1934,0,0,"0","1","0","2"
360.6,63,1957,0,0,"0","1","0","2"
716.5,79,1957,0,0,"0","0","0","2"
867.7,97,1957,0,0,"0","0","0","2"
632.9,69,1957,0,0,"0","0","0","2"
443.3,54,1893,0,0,"0","1","0","2"
373.2,57,1893,0,0,"0","1","0","2"
759.9,105,1893,0,0,"0","1","0","2"
556.7,82,1986,0,0,"0","0","0","2"
367.8,90,1893,0,0,"0","1","0","2"
548.9,80,1893,0,0,"0","1","0","2"
500.9,95,1893,0,0,"0","1","0","2"
1073.6,110,1934,0,0,"0","0","0","2"
940.3,85,1934,0,0,"0","0","0","2"
1308.3,110,1934,0,0,"0","0","0","2"
341.2,85,1893,0,0,"0","0","0","2"
678.7,65,1957,0,0,"0","0","0","2"
971.7,73,1957,0,0,"0","0","0","2"
975.5,48,1962,0,0,"0","0","0","2"
551.2,30,1934,0,0,"0","0","0","2"
890.2,67,1959,0,0,"0","0","0","2"
717.6,51,1934,0,0,"0","0","0","2"
1365,102,1981,0,0,"0","0","0","2"
1085.2,98,1980,0,0,"0","0","0","2"
548.3,92,1934,0,0,"0","0","0","2"
351.8,69,1938,0,0,"0","1","0","2"
571.3,68,1934,0,0,"0","0","0","2"
525,59,1938,0,0,"0","0","0","2"
352.8,69,1934,0,0,"0","1","0","2"
547.6,100,1893,0,0,"0","0","0","2"
191.4,70,1893,0,0,"0","0","0","2"
347.4,67,1960,0,0,"0","1","0","2"
486.9,67,1960,0,0,"0","1","0","2"
1664.3,108,1959,1,0,"0","0","1","3"
132.1,84,1893,0,0,"0","1","0","2"
762.3,90,1893,1,0,"0","0","0","3"
1034,100,1934,1,0,"0","0","0","3"
675.5,100,1893,1,0,"0","0","0","3"
1915.7,115,1893,1,0,"0","0","1","3"
519.5,56,1934,1,0,"0","1","0","3"
460.5,56,1934,1,0,"0","1","0","3"
357.5,43,1934,1,0,"1","1","0","3"
375.1,37,1957,1,0,"0","0","0","3"
445.9,45,1957,1,0,"0","0","0","3"
520.2,54,1957,1,0,"0","0","0","3"
280.6,52,1957,1,0,"0","0","0","3"
851.3,84,1957,1,0,"0","0","0","3"
759.8,65,1957,1,0,"0","1","0","3"
456.7,78,1972,1,0,"0","1","0","3"
1256.3,50,1985,1,0,"0","0","0","3"
1644.2,71,1985,1,0,"0","0","0","3"
242.1,76,1893,1,0,"0","0","0","3"
254.4,57,1957,1,0,"0","1","0","3"
779.7,74,1934,1,0,"0","0","0","3"
683.4,68,1957,1,0,"0","1","0","3"
737.8,92,1893,1,0,"0","1","0","3"
1188.1,60,1934,1,0,"0","1","0","3"
1249.5,62,1957,1,0,"0","1","0","3"
194.1,42,1957,1,0,"0","1","1","3"
692.8,68,1893,1,0,"1","1","0","3"
676.7,48,1893,1,0,"0","1","0","3"
1300,69,1893,1,0,"0","0","0","3"
1681.3,117,1893,1,0,"0","0","0","3"
946.8,80,1893,1,0,"0","1","0","3"
705,70,1957,1,0,"0","1","0","3"
1116.1,80,1957,1,0,"0","1","0","3"
454.5,53,1957,1,0,"0","0","0","3"
293,63,1957,1,0,"0","0","0","3"
2270.9,80,1893,1,0,"0","0","0","3"
976.4,79,1893,1,0,"0","0","0","3"
1086.2,58,1893,1,0,"0","0","1","3"
1254.6,72,1893,1,0,"0","0","0","3"
888.7,47,1893,1,0,"0","0","0","3"
997.8,54,1893,1,0,"0","0","0","3"
319.8,46,1893,1,0,"0","1","0","3"
349.6,30,1893,1,0,"1","1","0","3"
1735.1,67,1987,1,0,"0","0","0","3"
1076.7,86,1934,1,0,"0","0","0","3"
540,70,1893,1,0,"0","0","0","3"
1294.3,95,1893,1,0,"0","0","0","3"
825.9,72,1957,1,0,"0","0","0","3"
190.3,62,1957,1,0,"0","1","0","3"
608.8,58,1957,1,0,"0","0","0","3"
199.6,60,1957,1,0,"0","1","0","3"
750,89,1934,1,0,"0","0","0","3"
681.9,97,1957,1,0,"0","0","0","3"
822.7,59,1934,1,0,"0","0","0","3"
1239.2,61,1957,1,0,"0","0","0","3"
1215.1,94,1957,1,0,"0","0","0","3"
1277,120,1957,1,0,"0","1","0","3"
619,89,1934,0,0,"0","0","0","2"
598,78,1934,0,0,"0","0","0","2"
420,74,1934,0,0,"0","1","0","2"
1284.9,76,1934,0,0,"0","1","0","2"
421.5,72,1957,0,0,"0","0","1","2"
573.5,72,1957,0,0,"0","0","1","2"
1254.8,83,1957,1,0,"0","0","1","3"
1007.7,70,1957,1,0,"0","0","0","3"
755.6,52,1957,1,0,"0","0","0","3"
1057.8,89,1972,0,0,"0","0","1","2"
1102.7,55,1957,0,0,"0","0","1","2"
934.6,79,1957,0,0,"0","0","1","2"
1830.7,100,1972,0,0,"0","0","1","2"
1503.7,85,1957,0,0,"0","0","1","2"
1638.4,80,1957,1,0,"0","0","1","3"
570.9,30,1972,0,0,"0","0","0","2"
719,32,1972,0,0,"0","0","0","2"
375.8,63,1957,0,0,"0","0","1","2"
845.3,64,1934,1,0,"0","0","0","3"
1202.1,60,1957,0,0,"0","0","1","2"
1067.4,45,1957,0,0,"0","0","1","2"
868.3,69,1957,0,0,"0","0","1","2"
285.1,59,1957,0,0,"0","1","0","2"
272.1,46,1957,0,0,"0","1","0","2"
740.6,50,1957,0,0,"0","1","0","2"
700.3,51,1957,0,0,"0","1","0","2"
747.3,56,1957,0,0,"0","0","0","2"
718.8,55,1934,0,0,"0","1","0","2"
543.5,37,1934,0,0,"1","1","0","2"
413,76,1893,0,0,"0","1","0","2"
703.7,89,1934,1,0,"0","0","0","3"
813.8,50,1893,0,0,"0","0","0","2"
617.1,69,1957,0,0,"0","0","0","2"
1184.5,98,1934,0,1,"0","0","0","1"
766.8,55,1957,0,1,"0","1","0","1"
661.8,51,1972,0,0,"0","0","0","2"
674.2,68,1972,0,0,"0","0","0","2"
594.8,63,1972,0,0,"0","0","0","2"
674.4,72,1972,0,0,"0","0","0","2"
1267.3,96,1972,1,0,"0","0","0","3"
1069,95,1934,1,0,"0","0","0","3"
566.9,94,1934,1,0,"0","0","0","3"
723.5,70,1957,1,0,"0","0","0","3"
637.7,86,1957,1,0,"0","0","0","3"
329.3,34,1957,1,0,"0","0","0","3"
877.4,64,1988,1,0,"0","0","0","3"
1240.4,64,1988,1,0,"0","0","0","3"
964.6,80,1957,0,1,"0","0","0","1"
950.3,48,1957,0,1,"0","0","0","1"
420.5,40,1957,0,1,"0","0","0","1"
589.4,36,1957,0,1,"0","0","0","1"
406,119,1893,0,0,"0","1","0","2"
467.8,118,1893,0,0,"0","1","0","2"
437.5,60,1893,0,1,"0","1","0","1"
716,82,1893,0,1,"0","0","0","1"
388.1,78,1893,0,1,"0","1","0","1"
366.2,35,1893,0,1,"0","1","0","1"
461.1,68,1897,0,1,"1","1","0","1"
886.3,75,1893,0,1,"0","0","0","1"
564.1,56,1893,0,1,"0","0","0","1"
556.6,35,1893,0,1,"0","0","0","1"
555.4,40,1959,0,1,"0","0","0","1"
541.1,30,1985,0,1,"0","0","0","1"
541.1,30,1959,0,1,"0","0","0","1"
670.3,64,1959,0,1,"0","0","0","1"
413.9,94,1893,0,1,"0","0","0","1"
784.2,49,1972,0,1,"0","0","0","1"
543.1,56,1893,0,0,"0","1","0","2"
528.7,50,1893,0,0,"0","1","0","2"
619.7,108,1893,0,0,"0","1","0","2"
283.8,90,1893,1,0,"0","0","0","3"
1093.6,70,1957,0,0,"0","0","0","2"
680.3,67,1957,0,0,"0","0","0","2"
1482.7,82,1893,0,0,"0","1","0","2"
286.1,57,1893,0,0,"0","1","0","2"
905.8,66,1893,0,0,"0","0","0","2"
1239.8,64,1893,0,0,"0","0","0","2"
467.6,30,1963,0,1,"0","0","0","1"
600,34,1972,0,1,"0","0","0","1"
924.7,46,1934,0,1,"0","0","0","1"
715.2,50,1902,0,0,"0","1","0","2"
698.7,45,1902,0,0,"0","1","0","2"
833.7,45,1902,0,0,"0","1","0","2"
475,54,1964,0,0,"0","0","0","2"
609.3,45,1964,0,0,"0","0","0","2"
1540,95,1972,0,0,"0","0","1","2"
912,117,1934,1,0,"0","0","0","3"
851.9,100,1934,1,0,"0","0","0","3"
485.2,38,1934,1,0,"0","0","0","3"
768.9,49,1957,0,0,"0","0","0","2"
553.9,88,1957,0,0,"0","0","0","2"
226,65,1934,0,0,"0","1","0","2"
423.2,47,1950,0,0,"0","1","0","2"
1097.7,108,1934,1,0,"0","1","0","3"
1157.2,95,1941,1,0,"1","0","0","3"
380.8,64,1902,1,0,"0","0","0","3"
900,110,1927,1,0,"0","1","0","3"
595.1,60,1893,0,0,"0","1","0","2"
521.9,108,1893,0,0,"0","1","0","2"
537.9,65,1893,0,0,"0","1","0","2"
1291.9,58,1988,0,0,"0","0","0","2"
943.4,40,1988,0,0,"0","0","0","2"
1410,78,1972,0,0,"0","0","1","2"
1494.2,79,1972,0,0,"0","0","0","2"
1144.9,75,1972,0,0,"0","0","0","2"
1977.2,103,1957,0,0,"0","0","0","2"
676.1,63,1934,0,0,"0","0","0","2"
723.9,52,1934,0,0,"0","0","0","2"
663.7,88,1957,0,0,"0","0","0","2"
1486.6,84,1972,0,0,"0","0","0","2"
737.5,40,1957,0,0,"0","1","1","2"
1003.8,54,1957,0,0,"0","0","0","2"
1216.1,60,1957,0,0,"0","0","0","2"
692.7,66,1957,0,0,"0","0","0","2"
597.5,64,1957,0,0,"0","0","0","2"
996.4,54,1957,0,0,"0","0","0","2"
1233.2,114,1934,1,0,"0","0","1","3"
627,55,1938,1,0,"0","0","0","3"
481.6,35,1938,1,0,"0","0","1","3"
480.3,37,1938,1,0,"0","0","0","3"
303.2,50,1957,1,0,"0","0","0","3"
1733.8,90,1893,1,0,"0","0","1","3"
922.8,80,1934,1,0,"0","0","0","3"
1785.1,90,1934,1,0,"0","0","1","3"
888,100,1893,1,0,"0","1","0","3"
728.8,80,1893,1,0,"0","1","0","3"
342.1,81,1934,0,0,"0","0","0","2"
516,45,1893,0,0,"0","0","0","2"
586.1,75,1957,0,0,"0","1","0","2"
907.7,70,1893,0,0,"0","1","0","2"
905.1,74,1893,0,0,"0","0","0","2"
863.2,110,1934,0,0,"0","1","0","2"
651.7,115,1893,0,0,"0","1","0","2"
924.4,40,1893,0,0,"0","0","0","2"
1508.1,86,1981,1,0,"0","0","0","3"
1586.4,110,1981,1,0,"0","0","0","3"
1325.1,97,1981,1,0,"0","0","0","3"
885.5,72,1934,0,0,"0","0","0","2"
600.9,76,1893,0,0,"0","1","0","2"
573.3,76,1893,0,0,"0","1","0","2"
1466.8,70,1893,0,0,"0","1","0","2"
943.1,80,1934,0,0,"0","0","0","2"
1014.8,62,1957,0,0,"0","0","0","2"
563.8,56,1957,0,0,"0","0","0","2"
1437.7,60,1934,0,0,"0","0","0","2"
1120.3,87,1957,0,0,"0","0","0","2"
378.4,48,1893,0,0,"1","1","0","2"
914.5,86,1957,0,0,"0","1","0","2"
713.8,85,1934,0,0,"0","1","0","2"
618,85,1934,0,0,"0","1","0","2"
361.2,34,1934,0,0,"0","1","0","2"
1100.7,62,1957,0,0,"0","0","0","2"
539.4,60,1893,0,0,"0","0","0","2"
266.3,73,1893,0,0,"0","0","0","2"
933.1,67,1893,0,0,"0","0","0","2"
759.1,68,1893,0,0,"0","0","0","2"
894.7,63,1893,0,0,"0","0","0","2"
515.7,62,1893,0,0,"1","1","0","2"
670.3,62,1957,0,0,"0","0","0","2"
697,64,1934,0,0,"0","0","0","2"
959.4,70,1957,0,0,"0","0","0","2"
1131.8,60,1934,0,0,"0","1","0","2"
1733.7,78,1957,0,0,"0","0","0","2"
2537.9,95,1957,0,0,"0","0","0","2"
942,95,1957,0,0,"0","0","0","2"
1668.7,90,1957,0,0,"0","0","0","2"
757.5,33,1957,0,0,"0","0","0","2"
755.9,30,1957,0,0,"0","0","0","2"
441.4,39,1893,0,0,"0","0","0","2"
184.8,44,1893,0,0,"1","1","0","2"
456.2,80,1893,0,0,"0","1","1","2"
763.3,85,1985,0,0,"0","0","0","2"
1195.9,58,1972,0,0,"0","0","0","2"
724.7,67,1972,0,0,"0","0","0","2"
424,55,1893,0,0,"0","1","0","2"
406.8,60,1893,0,0,"0","1","0","2"
605.8,60,1893,0,0,"0","1","0","2"
508.8,36,1893,1,0,"0","0","0","3"
794.2,71,1934,0,0,"0","0","0","2"
720.2,71,1934,0,0,"0","0","0","2"
1346.8,80,1957,1,0,"0","0","0","3"
1429,90,1957,1,0,"0","0","0","3"
576.5,35,1893,0,0,"1","0","0","2"
771.3,81,1893,0,0,"0","1","1","2"
1036.5,100,1893,0,0,"0","0","0","2"
1009.8,87,1957,0,0,"0","0","0","2"
867.2,80,1893,0,0,"0","1","0","2"
487.5,120,1893,0,0,"0","1","0","2"
381.3,120,1893,0,0,"0","1","0","2"
563.6,110,1893,0,0,"0","1","0","2"
921.3,83,1981,0,0,"0","0","0","2"
400.3,95,1934,1,0,"0","1","0","3"
823.2,60,1894,1,0,"0","1","0","3"
977.2,105,1893,1,0,"0","0","0","3"
1050.1,70,1893,1,0,"0","1","0","3"
1227.2,105,1894,1,0,"0","1","0","3"
811.8,47,1893,1,0,"0","1","0","3"
365.1,58,1893,0,0,"0","1","0","2"
649.5,69,1957,1,0,"0","0","1","3"
430,60,1972,0,0,"0","0","0","2"
1567.6,100,1957,1,0,"0","0","1","3"
1117.5,49,1957,0,0,"0","0","0","2"
764.3,63,1957,1,0,"0","0","1","3"
483.6,73,1934,0,0,"0","0","0","2"
456,76,1962,1,0,"0","1","0","3"
238,44,1953,1,0,"0","1","0","3"
517.9,56,1958,0,0,"0","1","0","2"
595.5,53,1934,0,0,"0","1","0","2"
492.1,68,1971,0,0,"0","0","0","2"
653,77,1972,0,0,"0","0","0","2"
608,67,1972,0,0,"0","0","0","2"
628,78,1972,0,0,"0","0","0","2"
481,58,1972,0,0,"0","0","0","2"
577,67,1972,0,0,"0","0","0","2"
581,40,1972,0,0,"0","0","0","2"
728,78,1972,0,0,"0","0","0","2"
533.5,69,1967,0,0,"0","0","0","2"
673,78,1967,0,0,"0","0","0","2"
762,78,1972,0,0,"0","0","0","2"
462.8,56,1969,0,0,"0","0","0","2"
478.9,68,1957,0,0,"0","0","0","2"
433.8,48,1969,0,0,"0","0","0","2"
740.3,68,1969,0,0,"0","0","0","2"
417.3,36,1972,0,0,"0","0","0","2"
556.7,36,1972,0,0,"0","0","0","2"
411,37,1972,0,0,"0","0","0","2"
472,35,1972,0,0,"0","0","0","2"
847.2,88,1968,0,0,"0","0","0","2"
413,37,1972,0,0,"0","0","0","2"
597.4,64,1968,0,0,"0","0","0","2"
861,65,1972,0,0,"0","0","0","2"
1089.9,92,1968,0,0,"0","0","0","2"
909.2,79,1969,0,0,"0","0","0","2"
608.2,49,1969,0,0,"0","0","0","2"
676.9,59,1969,0,0,"0","0","0","2"
818.1,68,1957,0,0,"0","0","0","2"
708,66,1957,0,0,"0","0","0","2"
587.9,52,1957,0,0,"0","0","0","2"
560,45,1957,0,0,"0","0","0","2"
696.9,77,1934,0,0,"0","0","0","2"
184.9,65,1919,0,0,"0","0","0","2"
697.1,46,1970,0,0,"0","0","0","2"
997.7,70,1972,0,0,"0","0","0","2"
960.6,73,1972,0,0,"0","0","0","2"
440.3,35,1969,0,0,"0","0","0","2"
847.4,35,1969,0,0,"0","0","0","2"
469.5,32,1969,0,0,"0","0","0","2"
500,32,1972,0,0,"0","0","0","2"
723.5,63,1952,0,0,"0","0","0","2"
383.2,66,1957,0,0,"0","0","0","2"
744.7,48,1963,0,0,"0","0","0","2"
231.4,60,1957,0,0,"0","0","0","2"
526.3,75,1972,0,0,"0","0","0","2"
1273.5,86,1972,0,0,"0","0","1","2"
848.3,67,1972,0,0,"0","0","0","2"
902.2,89,1972,0,0,"0","0","0","2"
1450,75,1972,0,0,"0","0","0","2"
822.1,100,1972,0,0,"0","0","1","2"
423.5,70,1957,0,1,"0","0","0","1"
1691.2,118,1981,0,1,"0","0","1","1"
510.5,42,1981,0,1,"0","0","0","1"
570.3,67,1972,0,0,"0","0","1","2"
680,68,1972,0,0,"0","0","0","2"
855,68,1972,0,0,"0","0","1","2"
749.2,60,1972,0,0,"0","0","0","2"
706.4,76,1934,0,0,"0","0","0","2"
677.3,55,1972,0,0,"0","0","0","2"
2028.4,103,1972,0,0,"0","0","0","2"
1500,77,1972,0,0,"0","0","0","2"
278.1,55,1934,0,0,"0","1","0","2"
301.9,81,1934,0,0,"0","0","0","2"
689.3,54,1972,0,0,"0","0","0","2"
1310,73,1972,0,0,"0","0","0","2"
1328,87,1981,0,0,"0","0","0","2"
767.9,70,1972,0,0,"0","0","0","2"
648.3,31,1972,0,0,"0","0","0","2"
480.3,30,1972,0,0,"0","0","0","2"
521.5,33,1972,0,0,"0","0","0","2"
780.9,71,1972,0,0,"0","0","0","2"
860,40,1972,0,0,"0","0","0","2"
933.7,35,1972,0,0,"0","0","0","2"
650,67,1972,0,0,"0","0","0","2"
1300,80,1957,0,0,"0","0","1","2"
1550,85,1957,0,0,"0","0","1","2"
580.3,35,1957,0,0,"0","0","1","2"
489.7,80,1972,0,0,"0","0","1","2"
1187.4,64,1972,0,0,"0","0","0","2"
680.3,41,1957,0,0,"0","0","0","2"
1350,63,1957,0,0,"0","0","0","2"
664.6,60,1957,0,0,"0","1","0","2"
1208,100,1972,0,0,"0","0","0","2"
806.6,60,1957,0,0,"0","0","0","2"
363.2,64,1957,0,0,"0","0","0","2"
554.6,55,1957,0,0,"0","0","0","2"
764.7,73,1957,1,0,"0","0","0","3"
782.6,72,1957,1,0,"0","0","0","3"
711.3,73,1957,1,0,"0","0","0","3"
764.7,73,1957,1,0,"0","0","0","3"
895.8,74,1957,1,0,"0","0","0","3"
831.3,65,1972,0,0,"0","0","0","2"
622,55,1972,0,0,"0","0","0","2"
668.2,64,1972,0,0,"0","0","0","2"
735.4,58,1972,0,0,"0","0","0","2"
545.3,65,1972,0,0,"0","0","0","2"
1641.1,72,1972,1,0,"0","0","0","3"
432.3,30,1972,1,0,"0","0","0","3"
672.6,39,1972,1,0,"0","0","0","3"
766.2,40,1972,1,0,"0","0","0","3"
657.7,55,1893,1,0,"0","0","1","3"
607.3,56,1893,1,0,"0","1","0","3"
577,75,1972,1,0,"0","1","0","3"
758.4,40,1972,1,0,"0","0","0","3"
1800,110,1972,1,0,"0","0","1","3"
1153.7,76,1934,1,0,"0","0","1","3"
781.2,70,1972,1,0,"0","0","0","3"
1566.5,95,1981,1,0,"0","0","1","3"
1600.3,95,1981,1,0,"0","0","1","3"
1834.2,98,1981,1,0,"0","0","1","3"
1370.9,88,1957,1,0,"0","0","1","3"
758.9,65,1985,0,0,"0","0","0","2"
774.1,110,1934,0,0,"0","0","0","2"
943.8,69,1972,1,0,"0","0","0","3"
897.8,69,1972,1,0,"0","0","0","3"
669.2,84,1972,1,0,"0","0","0","3"
664.6,69,1972,1,0,"0","0","0","3"
797.5,46,1966,0,0,"0","0","0","2"
627.6,56,1966,0,0,"0","0","0","2"
630.4,30,1957,0,0,"0","0","0","2"
400.8,35,1987,0,0,"0","0","0","2"
664.9,68,1957,0,0,"0","0","0","2"
382.8,30,1964,0,0,"0","0","0","2"
604.1,67,1957,0,0,"0","0","0","2"
532.3,73,1957,0,0,"0","0","0","2"
1405.9,94,1954,0,1,"0","0","0","1"
299.2,50,1957,0,1,"0","0","0","1"
409.1,61,1918,0,0,"0","1","0","2"
1400,110,1972,0,0,"0","0","0","2"
898.5,80,1967,0,0,"0","0","0","2"
437.1,80,1972,0,0,"0","0","0","2"
770.1,102,1972,0,0,"0","0","0","2"
333.3,80,1972,0,0,"0","0","0","2"
1019.5,81,1972,0,0,"0","0","0","2"
506.1,42,1972,0,1,"0","0","0","1"
809.7,60,1972,0,1,"0","0","0","1"
463.1,36,1956,0,0,"0","0","0","2"
621.5,80,1893,0,1,"0","0","0","1"
929,56,1972,0,0,"0","0","0","2"
474.3,44,1972,0,0,"0","0","0","2"
843.7,79,1972,0,0,"0","0","0","2"
1142.7,87,1972,0,0,"0","0","0","2"
863.1,87,1972,0,0,"0","0","0","2"
819.6,88,1972,0,0,"0","0","0","2"
